titulo,ano,doi,citacoes,tipo,instituicao_primeiro_autor
Evaluating AI Readiness in Foresight Higher Education Programs,2026,https://doi.org/10.5281/zenodo.18093066,0,article,N/A
A Fifth Face? The Evolving Threat of Nuclear Terrorism in the Age of Artificial Intelligence,2026,,0,article,N/A
Digital assistants and consumer law– disruption or innovation?,2026,,0,other,N/A
Why Large Language Models Are Not Artificial Intelligence,2026,https://doi.org/10.5281/zenodo.18187446,0,article,N/A
Why Large Language Models Are Not Artificial Intelligence,2026,https://doi.org/10.5281/zenodo.18179858,0,article,N/A
Why Large Language Models Are Not Artificial Intelligence,2026,https://doi.org/10.5281/zenodo.18179859,0,article,N/A
New Approaches of eXplainable AI: From Video Analytics to Federated Learning,2026,,0,dissertation,N/A
"Role of Artificial Intelligence in Shaping India's Digital Economy after Independence: Achievements, Challenges and the Road Ahead",2026,https://doi.org/10.5281/zenodo.18161547,0,article,N/A
"Digital India and Emerging Technologies (AI, IoT, Blockchain)",2026,https://doi.org/10.5281/zenodo.18162480,0,article,ACPM Dental College and Hospital
Logic-Based Approaches to Scheduling and Their Enhancement through Controlled Natural Languages,2026,,0,dissertation,N/A
Out of the Box 75 Years of the Archive at the Akademie der Künste,2026,,0,other,N/A
The Role of Artificial Intelligence on Economic Modelling: An Analytical Reinterpretation,2026,https://doi.org/10.5281/zenodo.18217207,0,article,University of World Economy and Diplomacy
"Acoustische anomaliedetectie voor industriële machines: robuustheid, generaliseerbaarheid en betrouwbaarheidseigenschappen",2026,,0,article,N/A
Artificial intelligence for automated classification of antinuclear-antibody indirect immunofluorescence patterns,2026,https://doi.org/10.1016/j.ero.2025.12.006,0,article,N/A
"Cost-Integrated AI Meta-Models for Mine-to-Mill Optimisation: Linking Fragmentation, Throughput, and Operating Costs Across the Value Chain",2026,https://doi.org/10.3390/min16010073,0,article,University of Adelaide
Artificial intelligence in financial market prediction: advancements in machine learning for stock price forecasting,2026,https://doi.org/10.3389/frai.2025.1696423,0,article,N/A
Correction: Advancing artificial intelligence ethics in health and genomics: lessons from a public survey in South Korea,2026,https://doi.org/10.3389/fgene.2026.1769636,0,article,N/A
